,Question Asked,Agency
3424,but vendor invoice bill to THE MCST NO 2349 or MCST NO 2349 can we process to claim the GST,IRAS GST
3425,I cant open the SPF eservice webpage,SPF
3426,i need to print company acre,ACRA
3427,how long will it take to replace new passport,ICA
3428,i cant find my course to submit my claim,SSG
3429,Does a branch of foreign company have UEN,ACRA
3430,what is the document of identity,ICA
3431,Are captial gains taxed,IRAS IIT
3432,There is an extremely deep pothole at cecil street,LTA
3433,Where can I report the rental expenses,IRAS IIT
3434,can get me chasiss and engine number,LTA
3435,How to go online indication of interest for phase 3 registration for p1 unable to find the link thank you for your help,MOE
3436,What is the reporting order,MINDEF
3437,who have to filing the return,ACRA
3438,How i want to get refund from my previous deduction of taxfor work permit holdet,IRAS IIT
3439,sorry i close my medical review chat,MINDEF
3440,when can i received the escooter registration mark after i register,LTA
3441,Ive already booked my ippt last month but it doesnt show on the manage IPPT page,MINDEF
3442,i would like to know if i need to update my family particulars online,IRAS IIT
3443,Application of driver liscense,SPF
3444,how much do i have in my psea right now,MOE
3445,present SMJ i m waiting for SMK open bidding,LTA
3446,What is an FFI,MINDEF
3447,Hi Im SPR for my youngest daughter LTVP will expire on 5th Sep 2019 when Ill have to apply for her LTVP and how much renewal fee,ICA
3448,hi I need my passport asap,ICA
3449,Hello there can I know what is my passport number,ICA
3450,How do I apply for IPPT if I am on RT,MINDEF
3451,My company was incorporated after 31 August 2018 ie Dec 2018 and did not notify ACRA of their FYE What will be the FYE for my company,ACRA
3452,What does a catering license encompass,AVA
3453,We would like to inquire if your visit to our school,SPF
3454,can I have my wife relief as she is not working,IRAS IIT
3455,ns payment not in,MINDEF
3456,Hi I have recently passed my ippt would like to clarify tentivatively running timing at 1334 shouldnt be at 26 points because its still not round up,MINDEF
3457,what will i submit for finger printing for police clearance,SPF
3458,my road tax expiring on 17th Jan I will be buying insurance and paying road tax today will I meet the deadline,LTA
3459,i have send a police report 6 days ago but i have yet to hear anything from the police officer how can i know what is happening,SPF
3460,cannot lock into acra,ACRA
3461,hi where to click for outstanding traffic fine,SPF
3462,Id like to ask about import my dog,AVA
3463,Change name of birth certificate within 1 year procedure,ICA
3464,Attire for RT training,MINDEF
3465,can i claim child relief for child above years old,IRAS IIT
3466,How to turn of Popup blocker,LTA
3467,I am travelling with 3years kid can I take raw rice pickle,AVA
3468,an employee will be sending overseas posting for 3 months does the company need to do tac clearance,IRAS IIT
3469,changing medical,MINDEF
3470,I have not received the letter for medical appointment what should i do,MINDEF
3471,I do not have singpass to renew PR,ICA
3472,how do i make appeal to reactivate my company when it is stuck off,ACRA
3473,can a foreigner drive singapore car,SPF
3474,i have a vehicle number How do i check if the car still can be used for how many years,LTA
3475,Is my visa approved,ICA
3476,White sands primary vacancies,MOE
3477,Bidding for available bus number,LTA
3478,I want a printed version of my certificate of Merit,SPF
3479,Is printing the DisembarkationEmbarkation Card is needed,ICA
3480,compute tax,IRAS IIT
3481,One time payment for attendance allowance taxable,IRAS IIT
3482,Complain road traffic,SPF
3483,Hi Jamie I wish to import coffee beans from Bali for sale in Singapore,AVA
3484,do i check if i am eligible for certificate of merit,SPF
3485,cashcard expired,LTA
3486,no more slots for ippt how to complete by 31st,MINDEF
3487,I want to continue receiving hardcopy notifications from LTA I do no not wish to receive eletters I dont use Singpass What shall I do,LTA
3488,foodshop licence history,AVA
3489,Does installing air cleaner requires approval,AVA
3490,Where can I report escooter rider,LTA
3491,If I use hcl,MOE
3492,enable to renew road tax,LTA
3493,I have an automatic GIRO payment set up to pay my tax monthly It did not go through last week insufficient funds Will GIROIRAS automatically try again,IRAS IIT
3494,this is QCR shared between parents,IRAS IIT
3495,how much do i have in my psea account,MOE
3496,hi I live in foreign country now may i apply a new passport via eservice,ICA
3497,did I ve to inform my finance company and insurance when I replace VRN to existing vehicle,LTA
3498,convert to normal plate,LTA
3499,tourist visa sponsor,ICA
3500,Wsq certificate I want to collect,SSG
3501,minimum income that does not need to file tax,IRAS IIT
3502,are gst expenses deductible,IRAS GST
3503,Massage Establishment email address,SPF
3504,hi what is the email address to submit change of licensee request to SFA,AVA
3505,how do i edit my company business actvity,ACRA
3506,what is the MOE mission,MOE
3507,Can you please check status of my re entry permit and PR,ICA
3508,How to do a annual return,ACRA
3509,How to extend the short visit pass,ICA
3510,When can get the refund,LTA
3511,how do i apply for service provider,SSG
3512,when is the next top up avilable for skill future,SSG
3513,retrieve purchased profile,ACRA
3514,Popcorn is it allowed to be carried on plane,AVA
3515,Is the original visa valid when the passport expires Do I need to apply for a new visa,ICA
3516,hi my company is ask me for my wife passport for my tax clearance they say you requested it,IRAS IIT
3517,do i need to pay tax for my cryptocurrency earning,IRAS IIT
3518,how many days does it take to approve renewal of exit permit,MINDEF
3519,gst cheque payment,IRAS GST
3520,Hi Jamie Im a Malaysian Singapore PR I have obtain my PR about 5 years back Is it possible to convert my driving license now Thank you,SPF
3521,Hello I would like to ask abouy licence,AVA
3522,about fillling out s45 form,IRAS IIT
3523,I am looking for a programme to do over my summer holidays while in singapore,SSG
3524,when renewing my road tax after entering my credit card details an error message appeared But I was notified by my bank that the payment went through pls advise,LTA
3525,Can I collect paper form from iras office,IRAS IIT
3526,Goods and Services Tax levied on all goods,IRAS GST
3527,can I pay by interbank banking,IRAS IIT
3528,procedure to de register a gst company,IRAS GST
3529,how do i change collection of passport to singpost,ICA
3530,where do i write to get clarification on having problem with ICA entry into singapore,ICA
3531,How to print inprincipal approval for student pass,ICA
3532,i am applied for IRAS unique account and your PIN have not arrived,IRAS IIT
3533,closing sole proprietor,ACRA
3534,past certificate,MOE
3535,income tax relief for housing loan interest,IRAS IIT
3536,how to check my company truck road tax and insurance,LTA
3537,Dont have endorser signature,MINDEF
3538,how to submit company profile to create training grant application,SSG
3539,My total income 2018 is 8k plus so should I declare,IRAS IIT
3540,Hi Jamie do I need a tax agent,IRAS GST
3541,how to complete the non-wsq profile,SSG
3542,i want to register my son for primary one next year,MOE
3543,i lost my phone are the police able to help me get it back if i know able to track the location of the phone,SPF
3544,annual leave encashment taxable,IRAS IIT
3545,is a company under liquidation still required for audit,ACRA
3546,I want to make eappointment to collect my IC but unable to click on any dated,ICA
3547,PAYMENT ABORTED AT PAYMENT,ACRA
3548,Primary registration when,MOE
3549,sc minor,ICA
3550,Need license to import vegetable,AVA
3551,Is there a way to amend the certificate of clearance after it has been submitted online,SPF
3552,Cant login to ns portal,MINDEF
3553,Hi ineed the contact number for IRAS officer incharge of the late payment of personal income tax help line,IRAS IIT
3554,whay cant proceed to renew our road tax still has valid insurance and inspection done,LTA
3555,edit birth cert application,ICA
3556,how many points entitled for second year license,SPF
3557,requirement for passport photo,ICA
3558,Ok so where is tje online renewal of private security license,SPF
3559,i need submit my company tax is the first time,IRAS GST
3560,tax clearnace,IRAS IIT
3561,When we can get the results of coe bid,LTA
3562,Do I need send my existing passport when applying for renewal,ICA
3563,my clinets are going to travel indonesia on date 30 aug 2019 i have book ticket for it which have layover of 3 hours and other ticket have layover of 6 hours the etick,ICA
3564,Do I need bring photograph for replacing damage driving licence,SPF
3565,what do you mean balance coe forfeited meant,LTA
3566,Are PRs eligible for SkillsFurutre,SSG
3567,Im registering for new e scoter,LTA
3568,i own a car overseas can i bring back to register,LTA
3569,I want to report a case of fake identity cards andor passports suspected to be made,SPF
3570,how can I engage a school counsellor from MOE,MOE
3571,If miss out the given period to pay off peak car coupon can i appeal,LTA
3572,Can PES E9 change to another PES after she is certify fit,MINDEF
3573,How do i apply for a service injury card,MINDEF
3574,Can I have a pet pig in Singapore,AVA
3575,can i stop for a few minutes at a designated drop offpick up point to pick up a friend,LTA
3576,Report of death,ICA
3577,Appeal for demerit points be done after payment of fine,SPF
3578,2019 DSA JC submission,MOE
3579,im enrolling private currently how do i book for my TP test,SPF
3580,how do a free lancer file tax,IRAS IIT
3581,Hi I would like to check if my payment is done via giro instalment plan or onetime plan,IRAS IIT
